,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,v564287,1195.62,149.45,,1195.62,33.76241729,-84.38777071,Atlanta,GA,US,15,4.4666667,1.0,1,https://www.vrbo.com/564287?unitId=1111604,True
0,4247575,1414.0,176.75,,1414.0,33.75044,-84.36438,Atlanta,GA,US,25,4.92,1.0,1,https://www.homeaway.com/vacation-rental/p4247575?uni_id=4654454,True
0,4755809,960.0,120.0,,960.0,33.772021,-84.4137145,Atlanta,GA,US,12,4.4166665,2.0,3,https://www.homeaway.com/vacation-rental/p4755809?uni_id=5737110,True
0,v1013702,2500.0,312.5,,2500.0,33.8000583,-84.4110427,Atlanta,GA,US,9,5.0,3.0,5,https://www.vrbo.com/1013702?unitId=1561650,True
0,v1195136,644.0,80.5,,644.0,33.80916589,-84.3637699,Atlanta,GA,US,12,4.6666665,1.0,1,https://www.vrbo.com/1195136?unitId=1745894,True
0,v1161828,1081.2,135.15,,1081.2,33.77742223,-84.37154926,Atlanta,GA,US,11,5.0,1.0,1,https://www.vrbo.com/1161828?unitId=1710092,True
0,4067976,880.0,110.0,,880.0,33.76719105,-84.31995735,Atlanta,GA,US,20,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4067976?uni_id=4463762,True
0,4838545,4649.0,581.13,,4649.0,33.73572997,-84.473879,Atlanta,GA,US,1,5.0,2.0,4,https://www.homeaway.com/vacation-rental/p4838545?uni_id=5841082,True
0,908860,1552.48,194.06,,1552.48,33.739156,-84.366343,Atlanta,GA,US,49,4.5208335,2.0,3,https://www.homeaway.com/vacation-rental/p908860?uni_id=3219259,True
0,4742437,750.0,93.75,,750.0,33.837025,-84.3747979,Atlanta,GA,US,4,4.5,1.0,1,https://www.homeaway.com/vacation-rental/p4742437?uni_id=5720285,True
0,4085153,1371.43,171.43,,1371.43,33.82288,-84.363624,Atlanta,GA,US,24,4.478261,2.0,2,https://www.homeaway.com/vacation-rental/p4085153?uni_id=4482453,True
0,v1284520,2070.0,258.75,,2070.0,33.8000583,-84.4110427,Atlanta,GA,US,9,5.0,2.0,4,https://www.vrbo.com/1284520?unitId=1835659,True
0,4549491,935.0,116.88,,935.0,33.7669855,-84.3467281,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4549491?uni_id=5158229,True
0,v414019,2400.0,300.0,,2400.0,33.77384567,-84.35003662,Atlanta,GA,US,34,4.878788,2.0,3,https://www.vrbo.com/414019?unitId=414019,True
0,4840129,1150.0,143.75,,1150.0,33.84406879,-84.3737746,Atlanta,GA,US,2,4.5,1.0,1,https://www.homeaway.com/vacation-rental/p4840129?uni_id=5843036,True
0,v1193157,480.0,60.0,,480.0,33.76802613,-84.41746261,Atlanta,GA,US,2,3.5,1.0,1,https://www.vrbo.com/1193157?unitId=1743915,True
0,v1007026,1520.0,190.0,,1520.0,33.775889,-84.371465,Atlanta,GA,US,8,4.625,1.0,2,https://www.vrbo.com/1007026?unitId=1554974,True
0,v831474,628.56,78.57,,628.56,33.76168453,-84.32882263,Atlanta,GA,US,20,4.45,1.0,1,https://www.vrbo.com/831474?unitId=1379413,True
0,v826890,994.35,124.29,,994.35,33.7625418,-84.3878736,Atlanta,GA,US,7,4.857143,1.0,1,https://www.vrbo.com/826890?unitId=1374828,True
0,v1197997,4200.0,525.0,,4200.0,33.75425253,-84.33823892,Atlanta,GA,US,8,4.1666665,3.0,4,https://www.vrbo.com/1197997?unitId=1748757,True
0,4762294,712.0,89.0,,712.0,33.7700581,-84.3425347,Atlanta,GA,US,3,4.3333335,1.0,1,https://www.homeaway.com/vacation-rental/p4762294?uni_id=5746063,True
0,4646600,1272.0,159.0,,1272.0,33.7626854,-84.3585092,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4646600?uni_id=5404924,True
0,v282484,2734.0,341.75,,2734.0,33.79019547,-84.3937149,Atlanta,GA,US,40,4.5128207,3.0,3,https://www.vrbo.com/282484?unitId=282484,True
0,4651555,878.88,109.86,,878.88,33.8030906,-84.3732381,Atlanta,GA,US,2,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4651555?uni_id=5411787,True
0,4713219,775.0,96.88,,775.0,33.837537,-84.3741381,Atlanta,GA,US,2,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4713219?uni_id=5683818,True
0,v923355,632.0,79.0,,632.0,33.761078,-84.328887,Atlanta,GA,US,28,4.5,1.0,1,https://www.vrbo.com/923355?unitId=1471296,True
0,4937538,960.0,120.0,,960.0,33.8441443,-84.42792621,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4937538?uni_id=6113666,True
0,v99524,1080.0,135.0,,1080.0,33.7625618,-84.38787842,Atlanta,GA,US,5,3.8,1.0,1,https://www.vrbo.com/99524?unitId=99524,True
0,4360922,1141.76,142.72,,1141.76,33.7717641,-84.3669724,Atlanta,GA,US,3,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4360922?uni_id=4775072,True
0,v1040623,1350.0,168.75,,1350.0,33.8021496,-84.4454479,Atlanta,GA,US,1,5.0,2.0,3,https://www.vrbo.com/1040623?unitId=1588743,True
0,v925039,972.0,121.5,,972.0,33.77609173,-84.37984027,Atlanta,GA,US,8,4.125,1.0,1,https://www.vrbo.com/925039?unitId=1472980,True
0,4814783,4400.0,550.0,,4400.0,33.75430468,-84.34305266,Atlanta,GA,US,2,3.5,3.0,4,https://www.vacationrentals.com/listing/p4814783?uni_id=5810636,True
0,7345061,1118.8,139.85,,1118.8,33.7716274,-84.3681286,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7345061?uni_id=6691220,True
0,7180302,1918.88,239.86,,1918.88,33.7850416,-84.379955,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7180302?uni_id=6353022,True
0,4360921,1194.32,149.29,,1194.32,33.7624378,-84.3585321,Atlanta,GA,US,1,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4360921?uni_id=4775071,True
0,v1256956,704.0,88.0,,704.0,33.73116179,-84.39849184,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1256956?unitId=1807921,True
0,4749851,6480.0,810.0,,6480.0,33.78072603,-84.38762065,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4749851?uni_id=5729694,True
0,4880089,32000.0,4000.0,,32000.0,33.83723326,-84.37668173,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4880089?uni_id=5913041,True
0,7529202,1060.0,132.5,,1060.0,33.78326,-84.38783,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7529202?uni_id=6942772,True
0,7413246,2341.84,292.73,,2341.84,33.7629834,-84.3679438,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7413246?uni_id=6789698,True
0,4751380,1027.44,128.43,,1027.44,33.7403001,-84.3414907,Atlanta,GA,US,1,5.0,3.0,2,https://www.homeaway.com/vacation-rental/p4751380?uni_id=5731406,True
0,7529200,1002.0,125.25,,1002.0,33.75521,-84.38185,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7529200?uni_id=6942770,True
0,4539094,1202.0,150.25,,1202.0,33.84926,-84.37332,Atlanta,GA,US,1,3.0,1.0,0,https://www.homeaway.com/vacation-rental/p4539094?uni_id=5144889,True
0,4538611,1332.0,166.5,,1332.0,33.8468,-84.37002,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4538611?uni_id=5714511,True
0,7193972,1280.0,160.0,,1280.0,33.69508,-84.50515,Atlanta,GA,US,1,4.0,1.0,3,https://www.homeaway.com/vacation-rental/p7193972?uni_id=6368785,True
0,4467376,1245.0,155.63,,1245.0,33.7625367,-84.3597279,Atlanta,GA,US,5,3.8,2.0,2,https://www.homeaway.com/vacation-rental/p4467376?uni_id=5055130,True
0,v628858,3428.57,428.57,,3428.57,33.81027,-84.399206,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/628858?unitId=1176639,True
0,7663399,5200.0,650.0,,5200.0,33.71402,-84.36444,Atlanta,GA,US,0,0.0,2.0,4,https://www.homeaway.com/vacation-rental/p7663399?uni_id=7123984,True
0,7628605,997.6,124.7,,997.6,33.69901,-84.40637,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7628605?uni_id=7076741,True
0,v1212193,1440.0,180.0,,1440.0,33.82555159,-84.37270371,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1212193?unitId=1763043,True
0,v742354,1260.0,157.5,,1260.0,33.76256,-84.387878,Atlanta,GA,US,29,3.0,1.0,2,https://www.vrbo.com/742354?unitId=1290292,True
0,v1210218,826.0,103.25,,826.0,33.7480665,-84.3790928,Atlanta,GA,US,4,5.0,1.0,1,https://www.vrbo.com/1210218?unitId=1761062,True
0,v786559,1200.0,150.0,,1200.0,33.7961633,-84.3448885,Atlanta,GA,US,25,4.9166665,2.0,3,https://www.vrbo.com/786559?unitId=1334497,True
0,7136000,2231.0,278.88,,2231.0,33.75542,-84.38184,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p7136000?uni_id=6284374,True
0,4467360,1190.0,148.75,,1190.0,33.7804059,-84.4106083,Atlanta,GA,US,2,3.5,2.0,2,https://www.homeaway.com/vacation-rental/p4467360?uni_id=5055114,True
0,7429938,1978.0,247.25,,1978.0,33.76094,-84.37319,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p7429938?uni_id=6813341,True
0,4360924,1542.96,192.87,,1542.96,33.7624378,-84.3585321,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4360924?uni_id=4775074,True
0,4496092,1628.56,203.57,,1628.56,33.7619081,-84.358615,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4496092?uni_id=5088425,True
