,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
294,7567032,1798.0,224.75,,1798.0,33.7396714,-84.4376315,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.com/vacation-rental/p7567032?uni_id=6992315,True,59
295,7520412,2072.0,259.0,,2072.0,33.73697764,-84.38558096,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7520412?uni_id=6933039,True,43
296,v1543759,48000.0,6000.0,,48000.0,33.796996899999996,-84.3860521,Atlanta,GA,US,0,0.0,4.0,4,https://www.vrbo.com/1543759?unitId=2103493,True,16
297,v1603299,674.5,84.31,,674.5,33.76564419,-84.342141,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1603299?unitId=2164594,True,38
298,v1552563,1600.0,200.0,,1600.0,33.77270307,-84.38152148,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1552563?unitId=2112325,True,373
299,7592955,609.9,76.24,,609.9,33.7645255,-84.4153585,Atlanta,GA,US,0,0.0,1.0,2,https://www.homeaway.com/vacation-rental/p7592955?uni_id=7035638,True,89
300,v1517592,1000.0,125.0,,1000.0,33.77611074,-84.37426777,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1517592?unitId=2076388,True,373
301,7487062,5312.4,664.05,,5312.4,33.76819406,-84.36808988,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.com/vacation-rental/p7487062?uni_id=6891879,True,132
302,7563421,19992.0,2499.0,,19992.0,33.80059892,-84.36276267,Atlanta,GA,US,0,0.0,3.0,5,https://www.homeaway.com/vacation-rental/p7563421?uni_id=6988671,True,66
303,v1514109,8000.0,1000.0,,8000.0,33.79053909,-84.38186067,Atlanta,GA,US,0,0.0,3.0,1,https://www.vrbo.com/1514109?unitId=2072905,True,16
304,v1531985,2000.0,250.0,,2000.0,33.84124287,-84.3661291,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1531985?unitId=2090787,True,15
305,v1493905,1089.0,136.13,,1089.0,33.74454434,-84.3493093,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1493905?unitId=2052596,True,18
306,4771698,11960.0,1495.0,,11960.0,33.86675032,-84.42547791,Atlanta,GA,US,0,0.0,8.0,7,https://www.homeaway.com/vacation-rental/p4771698?uni_id=5756386,True,4
307,v1543930,3992.0,499.0,,3992.0,33.73348031,-84.3878553,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1543930?unitId=2103664,True,43
308,7566135,3600.0,450.0,,3600.0,33.73234763,-84.37511655,Atlanta,GA,US,1,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p7566135?uni_id=6991417,True,87
309,7566230,2808.0,351.0,,2808.0,33.70661561,-84.41827797,Atlanta,GA,US,1,5.0,1.0,3,https://www.homeaway.com/vacation-rental/p7566230?uni_id=6991512,True,105
310,v1536444,8000.0,1000.0,,8000.0,33.83982178,-84.37480223,Atlanta,GA,US,0,0.0,2.0,2,https://www.vrbo.com/1536444?unitId=2096126,True,59
311,4753441,900.0,112.5,,900.0,33.822644,-84.364092,Atlanta,GA,US,1,4.0,1.0,1,https://www.homeaway.com/vacation-rental/p4753441?uni_id=5733693,True,162
312,7603164,1000.8,125.1,,1000.8,33.8100157,-84.39586395,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7603164?uni_id=7047945,True,513
